,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,90+
,,,,,,,,,,,,"(3.7679,","(8.8275,","(15.0255,","(21.4539,","(27.4486,","(32.2517,","(35.3849,","(37.4455,"
,,,,,,,,,,,,3.7929),8.8719),15.0878),21.5329),27.5442),32.3621),35.5061),37.5757)
,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,5.43%,12.07%,18.96%,25.39%,30.53%,33.89%,36.10%
,,,,,,,,,,,,,"(5.4102,","(12.0417,","(18.9213,","(25.3372,","(30.4779,","(33.8312,","(36.0367,"
,,,,,,,,,,,,,5.4417),12.0978),18.9978),25.4330),30.5905),33.9560),36.1715)
,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,7.33%,14.93%,22.01%,27.69%,31.39%,33.83%
,,,,,,,,,,,,,,"(7.3061,","(14.8898,","(21.9638,","(27.6320,","(31.3297,","(33.7616,"
,,,,,,,,,,,,,,7.3473),14.9600),22.0584),27.7471),31.4592),33.9028)
,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,8.70%,16.82%,23.32%,27.56%,30.35%
,,,,,,,,,,,,,,,"(8.6748,","(16.7710,","(23.2598,","(27.4930,","(30.2772,"
,,,,,,,,,,,,,,,8.7264),16.8594),23.3758),27.6275),30.4264)
,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,9.73%,17.52%,22.61%,25.96%
,,,,,,,,,,,,,,,,"(9.6939,","(17.4679,","(22.5409,","(25.8775,"
,,,,,,,,,,,,,,,,9.7621),17.5796),22.6791),26.0359)
,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,10.05%,16.61%,20.92%
,,,,,,,,,,,,,,,,,"(10.0071,","(16.5418,","(20.8408,"
,,,,,,,,,,,,,,,,,10.0954),16.6770),21.0083)
,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,9.54%,15.82%
,,,,,,,,,,,,,,,,,,"(9.4858,","(15.7308,"
,,,,,,,,,,,,,,,,,,9.5966),15.9087)
,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,11.54%
,,,,,,,,,,,,,,,,,,,"(11.4408,"
,,,,,,,,,,,,,,,,,,,11.6452)
